Bosnian,4.81,0.53,0.39,0.12,25.91,42.79,0.74,0.03,4.67,0.07,19.92,0.01
Brahmin_Uttaranchal,32.35,2.72,0.00,2.62,1.29,10.60,37.49,0.00,0.39,7.42,5.11,0.00
Brahmins_from_Tamil_Nadu,38.54,0.80,0.00,0.60,1.50,4.60,48.75,0.00,0.90,0.90,3.40,0.00
Bulgarian_Central,5.51,0.56,0.83,0.18,25.81,32.76,0.34,0.08,7.2,0.28,26.43,0.02
Bulgarian_East,6.3,0.73,1.14,0.19,25.21,30.62,0.23,0.03,7.68,0.24,27.64,0
Bulgarian_Thrace,6.59,0.41,1.68,0,25.45,26.47,0.61,0,8.53,0.25,29.92,0
Bulgarian_West,5.27,0.71,0.72,0.32,26.26,33.47,0.32,0.02,6.78,0.22,25.86,0.02
Burmanese,4.20,4.50,0.00,37.20,0.00,0.00,18.70,0.00,0.10,35.30,0.00,0.00
Burusho,43.20,3.10,0.00,0.10,0.00,11.90,24.80,0.00,0.00,8.20,8.70,0.00
Buryat,3.62,42.84,0.24,1.96,0.81,4.40,0.80,0.11,0.46,42.32,2.35,0.10
Cambodians,0.00,1.80,0.00,82.20,0.00,0.60,15.20,0.00,0.00,0.10,0.10,0.00
Chamar,24.80,0.20,0.00,0.00,0.40,1.70,71.20,0.00,0.00,1.70,0.00,0.00
Chechen,22.47,2.64,0.04,0.48,4.99,21.28,0.58,0,3.46,1.02,42.96,0.06
Chenchus,25.17,0.00,0.40,0.70,0.10,0.30,67.03,0.00,0.00,5.00,1.30,0.00
Chuvash,7.68,19.12,0.23,0.68,11.29,46.04,1.08,0.18,0.70,5.29,7.69,0.03
Circassian,17.33,4.19,0.06,0.16,6.49,18.36,0.64,0.01,3.82,3.71,45.19,0.02
Cochin_Jews,33.13,0.20,0.10,2.50,3.70,1.50,45.45,0.00,5.91,0.50,7.01,0.00
Coptic,1.95,0,10.72,0.20,11.82,0,0.03,9.88,31.32,0,33.88,0.18
Crimean_Tatar_Coast,10.97,1.34,0.55,0.60,20.38,20.14,0.12,0.09,8.77,1.75,35.33,0
Crimean_Tatar_Mountain,11.39,4.28,0.41,1.2,16.94,20.86,0.72,0.08,7.08,3.75,33.27,0.03
Crimean_Tatar_Steppe,9.45,12.82,0.16,2.36,11.94,25.43,1.77,0.04,3.94,15.44,16.64,0
Croat,4.59,0.41,0.4,0.31,27.14,43.51,0.31,0.04,4.04,0.11,19.1,0.03
Czech,5.06,0.50,0.39,0.21,29.22,49.34,0.57,0.03,1.98,0.06,12.58,0.07
